PO Line ID,GR Posting Date,GR Effective Quantity
"4581800403-1",2022-12-05 00:00:00.000,0.00
"4581800403-1",2022-12-14 00:00:00.000,1.00
"4581800403-2",2022-12-05 00:00:00.000,0.00
"4581800403-2",2022-12-14 00:00:00.000,3.00
"4581800403-2",2022-12-28 00:00:00.000,0.00
"4581800403-2",2023-01-05 00:00:00.000,0.00
"4581800403-2",2023-01-25 00:00:00.000,5.00
"4581800403-3",2022-12-05 00:00:00.000,0.00
"4581800403-3",2022-12-14 00:00:00.000,9.00
"4581800404-1",2022-12-08 00:00:00.000,0.00
"4581800404-1",2022-12-13 00:00:00.000,30.00
"4581800404-2",2022-12-08 00:00:00.000,0.00
"4581800404-2",2022-12-13 00:00:00.000,30.00
"4581800404-3",2022-12-08 00:00:00.000,0.00
"4581800404-3",2022-12-13 00:00:00.000,1.00
"4581800404-3",2022-12-14 00:00:00.000,0.00
"4581800404-3",2022-12-29 00:00:00.000,3.00
"4581800404-3",2023-08-17 00:00:00.000,0.00
"4581800404-3",2023-09-07 00:00:00.000,1.00
"4581802547-1",2022-12-20 00:00:00.000,50.00
"4581802547-2",2023-02-01 00:00:00.000,0.00
"4581802547-2",2023-03-03 00:00:00.000,19.00
"4581804178-1",2023-03-27 00:00:00.000,1.00
"4581804210-1",2023-01-05 00:00:00.000,0.00
"4581804210-1",2023-01-06 00:00:00.000,100.00
"4581804210-2",2023-01-05 00:00:00.000,0.00
"4581804210-2",2023-01-06 00:00:00.000,48.00
"4581804210-3",2023-01-05 00:00:00.000,0.00
"4581804210-3",2023-01-06 00:00:00.000,60.00
"4581804210-4",2023-01-05 00:00:00.000,0.00
"4581804210-4",2023-01-06 00:00:00.000,100.00
"4581804770-1",2022-12-07 00:00:00.000,0.00
"4581804770-2",2022-12-07 00:00:00.000,0.00
"4581804770-3",2022-12-07 00:00:00.000,0.00
